Edicao,Ano,Primeiro,Segundo,Terceiro,Quarto,Artilheiro,N_de_gols
1ª,1919(detalhes), Brasil de Pelotas (1), Grêmio,—,—,ProençaBrasil de Pelotas,3
2ª,1920(detalhes), Guarany de Bagé (1), Grêmio, Uruguaiana,—,GreccoGuarany de Bagé,2
3ª,1921(detalhes), Grêmio  (1), Riograndense, Brasil de Pelotas, Uruguaiana,MosquitoRiograndense,3
4ª,1922(detalhes), Grêmio (2), Guarani de Alegrete, Guarany de Cruz Alta, Bagé,LagartoGrêmio,5
5ª,1925(detalhes), Bagé (1), Grêmio, Guarany de Cruz Alta, Grêmio Santanense,PascoalitoBagé,?
6ª,1926(detalhes), Grêmio (3), Guarany de Bagé, Guarany-CS, Independente,CoróGrêmio,?
7ª,1927(detalhes), Internacional (1), Bagé, 14 de Julho, Nacional-SL,BarrosInternacional,?
8ª,1928(detalhes), Americano-RS (1), Bagé, Gaúcho, Guarany de Rosário,JoãozinhoAmericano-RS,?
9ª,1929(detalhes), Cruzeiro-RS [d] (1), Guarany de Bagé, Riograndense, Ferro Carril,NestorCruzeiro-RS,?
10ª,1930(detalhes), Pelotas (1), Grêmio, Novo Hamburgo,—,MarcialPelotas,?
11ª,1931(detalhes), Grêmio (4), Guarani de Alegrete, Riograndense, Brasil de Pelotas,Artigas PérezGrêmio,3
12ª,1932(detalhes), Grêmio (5), Pelotas, Santa Cruz, 14 de Julho,Artigas PérezGrêmio,?
13ª,1933(detalhes), São Paulo-RS (1), Grêmio, Novo Hamburgo, Universal,NenêGrêmio,4
14ª,1934(detalhes), Internacional (2), Farroupilha[a], Riograndense-CA, Uruguaiana,TupanInternacional,3
15ª,1935(detalhes), Farroupilha (1) [a], Grêmio, Novo Hamburgo, Grêmio Santanense,RussinhoGrêmio,7
16ª,1936(detalhes), Rio Grande (1), Internacional, Riograndense, Novo Hamburgo,OscarNovo Hamburgo,7
17ª,1937(detalhes), Grêmio Santanense (1), Riograndense, Novo Hamburgo, Riograndense,Hortêncio Souza/Tom MixGrêmio Santanense,?
18ª,1938(detalhes), Guarany de Bagé (2), Riograndense, Riograndense, Renner,PicãoGuarany de Bagé,?
19ª,1939(detalhes), Riograndense (1), Grêmio Santanense, Gaúcho, Novo Hamburgo,Carruíra/ChinêsRiograndense,?
20ª,1940(detalhes), Internacional (3), Bagé, Riograndense, Juventude,MarquesInternacional,?
21ª,1941(detalhes), Internacional (4), Rio Grande, Riograndense, Riograndense-PF,José VillalbaInternacional,?
22ª,1942(detalhes), Internacional (5), Novo Hamburgo [b], Armour, Brasil de Pelotas,José VillalbaInternacional,?
23ª,1943(detalhes), Internacional (6), Guarany-CS, Farroupilha, Guarany de Bagé,TesourinhaInternacional,?
24ª,1944(detalhes), Internacional (7), Bagé, Cachoeira, Novo Hamburgo[b],XinximInternacional,?
25ª,1945(detalhes), Internacional (8), Pelotas, Esperança, Inter de Santa Maria,TesourinhaInternacional,?
26ª,1946(detalhes), Grêmio (6), Riograndense, Grêmio Santanense, Guarany de Bagé,Cordeiro/HélioGrêmio,?
27ª,1947(detalhes), Internacional (9), Novo Hamburgo[b], Guarany de Bagé, Fluminense-RS,CarlitosInternacional,?
28ª,1948(detalhes), Internacional (10), Grêmio Santanense, Cachoeira, Novo Hamburgo[b],GhizzoniInternacional,5
29ª,1949(detalhes), Grêmio (7), Novo Hamburgo[b], 14 de Julho, Brasil de Pelotas,Geada/HermesGrêmio,?
30ª,1950(detalhes), Internacional (11), Novo Hamburgo[b], Brasil de Pelotas, Uruguaiana,Ênio AndradeInternacional,3
