Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes,PIB_2010,PIB_2019,PIB_per_capita_2010,PIB_per_capita_2019,IDH_1991,IDH_2000,IDH_2010
Porto Alegre,1450555,1492530,Porto Alegre,Metropolitana,42724992.0,82431477.59,30302.72,55555.39,0.66,0.744,0.805
Caxias do Sul,437889,523716,Caxias do Sul,Nordeste,16471201.0,27013569.55,37822.92,52873.85,0.594,0.705,0.782
Canoas,323827,349728,Porto Alegre,Metropolitana,12718014.0,20630280.14,39250.1,59519.12,0.556,0.665,0.75
Pelotas,328275,343826,Pelotas,Sudeste,4227940.0,9445912.82,12898.79,27586.96,0.558,0.66,0.739
Gravataí,255660,285564,Porto Alegre,Metropolitana,7295813.0,12396458.37,28525.79,44034.18,0.54,0.661,0.736
Santa Maria,268450,285159,Santa Maria,Centro Ocidental,4006384.0,8766854.55,15348.54,31074.58,0.609,0.715,0.784
Viamão,239384,257330,Porto Alegre,Metropolitana,1948820.0,4040356.74,8146.08,15830.63,0.511,0.62,0.717
Novo Hamburgo,239051,247303,Porto Alegre,Metropolitana,5536880.0,9769394.05,23161.92,39592.6,0.544,0.671,0.747
São Leopoldo,214210,240378,Porto Alegre,Metropolitana,4455336.0,10122382.39,20798.92,42740.23,0.543,0.656,0.739
Rio Grande,197253,212881,Litoral Lagunar,Sudeste,5143121.0,10687203.88,26073.73,50649.06,0.527,0.652,0.744
Alvorada,195718,212352,Porto Alegre,Metropolitana,1360732.0,2843520.12,6952.51,13520.93,0.472,0.582,0.699
Passo Fundo,184826,206103,Passo Fundo,Noroeste,3903722.0,9829386.24,21116.15,48355.12,0.589,0.701,0.776
Sapucaia do Sul,130957,142508,Porto Alegre,Metropolitana,2242808.0,3538476.8,17122.24,25082.24,0.513,0.633,0.726
Santa Cruz do Sul,118287,132271,Santa Cruz do Sul,Centro Oriental,4176628.0,9831717.94,35309.28,75387.36,0.561,0.682,0.773
Cachoeirinha,118278,132144,Porto Alegre,Metropolitana,4248239.0,5687259.92,35912.55,43649.77,0.546,0.672,0.757
Uruguaiana,125507,126766,Campanha Ocidental,Sudoeste,1518547.0,2885238.75,12099.3,22723.78,0.55,0.663,0.744
Bento Gonçalves,107341,123090,Caxias do Sul,Nordeste,3508007.0,6349889.81,32680.96,52716.31,0.612,0.712,0.778
Bagé,116792,121518,Campanha Meridional,Sudoeste,1288068.0,3154210.56,11028.73,26037.08,0.561,0.659,0.74
Erechim,96087,107368,Erechim,Noroeste,2397415.0,5303198.5,24945.79,50095.39,0.578,0.696,0.776
Guaíba,94230,98331,Porto Alegre,Metropolitana,2910560.0,6438870.93,30563.48,65607.03,0.522,0.654,0.73
