Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes
 Porto Alegre,1 450 555,1 492 530,Porto Alegre,Metropolitana
 Caxias do Sul,437 889,523 716,Caxias do Sul,Nordeste
 Canoas,"323,827",349 728,Porto Alegre,Metropolitana
 Pelotas,"328,275",343 826,Pelotas,Sudeste
 Gravataí,255 660,285 564,Porto Alegre,Metropolitana
 Santa Maria,268 450,285 159,Santa Maria,Centro Ocidental
 Viamão,"239,384",257 330,Porto Alegre,Metropolitana
 Novo Hamburgo,"239,051",247 303,Porto Alegre,Metropolitana
 São Leopoldo,"214,210",240 378,Porto Alegre,Metropolitana
 Rio Grande,"197,253",212 881,Litoral Lagunar,Sudeste
 Alvorada,"195,718",212 352,Porto Alegre,Metropolitana
 Passo Fundo,"184,826",206 103,Passo Fundo,Noroeste
 Sapucaia do Sul,"130,957",142 508,Porto Alegre,Metropolitana
 Santa Cruz do Sul,"118,287",132 271,Santa Cruz do Sul,Centro Oriental
 Cachoeirinha,118 278,132 144,Porto Alegre,Metropolitana
 Uruguaiana,"125,507",126 766,Campanha Ocidental,Sudoeste
 Bento Gonçalves,"107,341",123 090,Caxias do Sul,Nordeste
 Bagé,"116,792",121 518,Campanha Meridional,Sudoeste
 Erechim,96 087,107 368,Erechim,Noroeste
 Guaíba,"94,230",98 331,Porto Alegre,Metropolitana
 Lajeado,"71,481",86 005,Lajeado-Estrela,Centro Oriental
 Ijuí,"78,920",84 041,Ijuí,Noroeste
 Esteio,"80,669",83 352,Porto Alegre,Metropolitana
 Cachoeira do Sul,"83,827",81 552,Cachoeira do Sul,Centro Oriental
 Sapiranga,75 020,80 514,Porto Alegre,Metropolitana
 Santo Ângelo,"76,304",77 544,Santo Ângelo,Noroeste
 Santana do Livramento,"82,513",75 647,Campanha Central,Sudoeste
 Santa Rosa,"68,587",73 882,Santa Rosa,Noroeste
 Farroupilha,"63,635",73 758,Caxias do Sul,Nordeste
 Alegrete,"77,673",72 493,Campanha Ocidental,Sudoeste
 Venâncio Aires,"65,964",72 373,Santa Cruz do Sul,Centro Oriental
 Campo Bom,"60,081",69 981,Porto Alegre,Metropolitana
 Vacaria,"61,345",66 916,Vacaria,Nordeste
 Camaquã,"62,759",66 686,Camaquã,Metropolitana
 Montenegro,"59,436",66 157,Montenegro,Metropolitana
 Carazinho,"59,301",62 413,Carazinho,Noroeste
 São Gabriel,"60,508",62 187,Campanha Central,Sudoeste
 São Borja,"61,671",59 768,Campanha Ocidental,Sudoeste
 Cruz Alta,"62,615",59 561,Cruz Alta,Noroeste
 Parobé,"51,481",59 419,Porto Alegre,Metropolitana
 Taquara,"54,656",57 740,Gramado-Canela,Metropolitana
 Canguçu,"53,268",56 370,Pelotas,Sudeste
 Capão da Canoa,"42,047",55 009,Osório,Metropolitana
 Tramandaí,"41,655",53 507,Osório,Metropolitana
 Estância Velha,"42,589",51 292,Porto Alegre,Metropolitana
 Santiago,"49,082",49 298,Santiago,Centro Ocidental
 Osório,"40,941",46 815,Osório,Metropolitana
 Canela,"39,238",45 957,Gramado-Canela,Metropolitana
 Marau,"36,383",45 523,Passo Fundo,Noroeste
 Panambi,"38,068",44 583,Ijuí,Noroeste
 São Lourenço do Sul,"43,114",43 501,Pelotas,Sudeste
 Santo Antônio da Patrulha,"39,679",43 397,Osório,Metropolitana
 Eldorado do Sul,"34,335",42 490,Porto Alegre,Metropolitana
 Charqueadas,"35,363",41 705,São Jerônimo,Metropolitana
 Torres,"34,646",39 381,Osório,Metropolitana
 Rosário do Sul,"39,751",39 210,Campanha Central,Sudoeste
 Rio Pardo,"37,602",38 257,Cachoeira do Sul,Centro Oriental
 Dom Pedrito,"38,916",38 222,Campanha Meridional,Sudoeste
 Portão,"30,881",38 081,Montenegro,Metropolitana
 Igrejinha,"31,663",37 754,Gramado-Canela,Metropolitana
 Itaqui,"38,166",37 363,Campanha Ocidental,Sudoeste
 Gramado,"32,300",36 864,Gramado-Canela,Metropolitana
 Garibaldi,"30,692",35 794,Caxias do Sul,Nordeste
 Estrela,"30,628",34 669,Lajeado-Estrela,Centro Oriental
 Teutônia,"27,265",34 275,Lajeado Estrela,Centro Oriental
 Dois Irmãos,"27,572",33 547,Gramado-Canela,Metropolitana
 Caçapava do Sul,"33,700",33 476,Serras de Sudeste,Sudeste
 São Luiz Gonzaga,"34,558",33 124,Santo Ângelo,Noroeste
 Palmeira das Missões,"34,328",32 967,Carazinho,Noroeste
 Frederico Westphalen,"28,848",31 675,Frederico Westphalen,Noroeste
 Candelária,"30,176",31 475,Santa Cruz do Sul,Centro Oriental
 Flores da Cunha,"27,135",31 352,Caxias do Sul,Nordeste
 Soledade,"30,065",31 067,Soledade,Noroeste
 Carlos Barbosa,"25,193",30 630,Caxias do Sul,Nordeste
 Nova Santa Rita,"22,706",30 482,Porto Alegre,Metropolitana
 Triunfo,"25,811",30 159,São Jerônimo,Metropolitana
 Santa Vitória do Palmar,"31,002",29 298,Litoral Lagunar,Sudeste
 Três Coroas,"23,855",28 948,Gramado-Canela,Metropolitana
 Nova Prata,"22,830",28 021,Guaporé,Nordeste
 São José do Norte,"25,523",27 866,Litoral Lagunar,Sudeste
 Lagoa Vermelha,"27,529",27 751,Vacaria,Nordeste
 Vera Cruz,"23,986",27 325,Santa Cruz do Sul,Centro Oriental
 Taquari,26 138,26 907,Lajeado-Estrela,Centro Oriental
 Veranópolis,"22,815",26 813,Caxias do Sul,Nordeste
 Jaguarão,"27,942",26 327,Jaguarão,Sudeste
 Guaporé,22 810,26 199,Guaporé,Nordeste
 São Sebastião do Caí,21 944,26 161,Montenegro,Metropolitana
 Encruzilhada do Sul,"24,537",26 039,Serras de Sudeste,Sudeste
 Capão do Leão,"24,294",25 462,Pelotas,Sudeste
 Ivoti,19 877,25 068,Gramado-Canela,Metropolitana
 Sarandi,22 623,25 024,Carazinho,Noroeste
 Tapejara,19 252,24 973,Passo Fundo,Noroeste
 São Jerônimo,22 141,24 569,São Jerônimo,Metropolitana
 Tupanciretã,22 286,24 182,Santiago,Centro Ocidental
 Três de Maio,"23,726",23 846,Santa Rosa,Noroeste
 Três Passos,"23,973",23 799,Três Passos,Noroeste
Imbé,17 667,23 721,Osório,Metropolitana
 São Sepé,"23,798",23 492,Santa Maria,Centro Ocidental
 Encantado,20 514,23 047,Lajeado-Estrela,Centro Oriental
 Quaraí,23 021,22 531,Campanha Ocidental,Sudoeste
 Nova Hartz,18 346,22 147,Porto Alegre,Metropolitana
 São Francisco de Paula,20 570,21 871,Vacaria,Nordeste
 São Marcos,20 105,21 756,Caxias do Sul,Nordeste
 Nova Petrópolis,19 058,21 717,Gramado-Canela,Metropolitana
 Rolante,19 493,21 591,Gramado-Canela,Metropolitana
 Arroio do Meio,18 783,21 121,Lajeado-Estrela,Centro Oriental
 Butiá,20 555,20 963,São Jerônimo,Metropolitana
Piratini,19 831,20 743,Serras de Sudeste,Sudeste
 Ibirubá,19 312,20 474,Cruz Alta,Noroeste
 Horizontina,18 350,19 446,Três Passos,Noroeste
 Júlio de Castilhos,19 579,19 159,Santiago,Centro Ocidental
 Arroio Grande,18 469,18 185,Jaguarão,Sudeste
 São Francisco de Assis,19 258,18 081,Campanha Ocidental,Sudoeste
 Serafina Corrêa,14 243,18 074,Guaporé,Nordeste
 Não-Me-Toque,15 938,17 886,Não-Me-Toque,Noroeste
 Tapes,16 649,17 363,Camaquã,Metropolitana
Xangri-lá,12 405,17 126,Osório,Metropolitana
Cidreira,12 654,16 897,Osório,Metropolitana
 Sananduva,15 373,16 382,Sananduva,Noroeste
 Agudo,16 729,16 344,Restinga Seca,Centro Ocidental
 Getúlio Vargas,16 156,16 158,Erechim,Noroeste
 São Pedro do Sul,16 371,16 100,Santa Maria,Centro Ocidental
Giruá,17 085,15 729,Santo Ângelo,Noroeste
 Restinga Seca,15 850,15 702,Restinga Seca,Centro Ocidental
 Espumoso,15 240,15 594,Cruz Alta,Noroeste
 Dom Feliciano,14 380,15 556,Camaquã,Metropolitana
 Sobradinho,14 285,15 041,Santa Cruz do Sul,Centro Oriental
 Balneário Pinhal,10 855,14 645,Osório,Metropolitana
 Bom Princípio,11 792,14 446,Montenegro,Metropolitana
 Cerro Largo,13 289,14 243,Cerro Largo,Noroeste
 Arroio dos Ratos,13 608,14 201,São Jerônimo,Metropolitana
 Santo Cristo,14 378,14 177,Santa Rosa,Noroeste
 Santo Augusto,13 970,13 813,Ijuí,Noroeste
 Feliz,12 359,13 728,Montenegro,Metropolitana
 Barra do Ribeiro,12 568,13 618,Camaquã,Metropolitana
 Arroio do Tigre,12 648,13 452,Santa Cruz do Sul,Centro Oriental
 Tenente Portela,13 716,13 385,Três Passos,Noroeste
 Crissiumal,14 085,13 269,Três Passos,Noroeste
 Antônio Prado,12 837,13 041,Caxias do Sul,Nordeste
 Mostardas,12 130,12 888,Osório,Metropolitana
 Cerro Grande do Sul,10 280,12 579,Camaquã,Metropolitana
 Salto do Jacuí,11 880,12 512,Cruz Alta,Noroeste
 Cruzeiro do Sul,12 331,12 457,Lajeado-Estrela,Centro Oriental
 Bom Retiro do Sul,11 472,12 448,Lajeado-Estrela,Centro Oriental
 Cacequi,13 685,12 291,Santa Maria,Centro Ocidental
 Capela de Santana,11 613,12 183,Montenegro,Metropolitana
 Pinheiro Machado,12 787,12 122,Serras de Sudeste,Sudeste
 Vale do Sol,11 077,11 873,Santa Cruz do Sul,Centro Oriental
 Redentora,10 222,11 782,Três Passos,Noroeste
 Nonoai,12 076,11 574,Frederico Westphalen,Noroeste
 Roca Sales,10 228,11 556,Lajeado-Estrela,Centro Oriental
 Palmares do Sul,10 971,11 318,Osório,Metropolitana
 Terra de Areia,9 878,11 323,Osório,Metropolitana
 Bom Jesus,11 556,11 270,Vacaria,Nordeste
 Três Cachoeiras,10 239,11 174,Osório,Metropolitana
 Barros Cassal,11 133,11 167,Soledade,Noroeste
 Jaguari,11 478,10 684,Santa Maria,Centro Ocidental
 Seberi,10 902,10 678,Frederico Westphalen,Noroeste
 Ronda Alta,10 228,10 633,Passo Fundo,Noroeste
 Tapera,10 452,10 569,Não-Me-Toque,Noroeste
 Arroio do Sal,7 744,10 483,Osório,Metropolitana
 Arvorezinha,10 229,10 422,Guaporé,Nordeste
 Fontoura Xavier,10 712,10 181,Soledade,Noroeste
 Sinimbu,10 067,10 152,Santa Cruz do Sul,Centro Oriental
 Porto Xavier,10 560,10 144,Cerro Largo,Noroeste
 Nova Bassano,8 840,10 089,Guaporé,Nordeste
 Planalto,10 524,9 957,Frederico Westphalen,Noroeste
 Santo Antônio das Missões,11 210,9 930,Santo Ângelo,Noroeste
 Constantina,9 741,9 903,Frederico Westphalen,Noroeste
 Candiota,8 776,9 707,Serras de Sudeste,Sudeste
 Chapada,9 377,9 211,Carazinho,Noroeste
 Casca,8 648,9 070,Passo Fundo,Noroeste
 Pantano Grande,9 895,8 995,Cachoeira do Sul,Centro Oriental
São Vicente do Sul,8 440,8 742,Santa Maria,Centro Ocidental
 Catuípe,9 323,8 631,Santo Ângelo,Noroeste
 Jóia,8 329,8 571,Cruz Alta,Noroeste
 Paverama,8 047,8 541,Lajeado-Estrela,Centro Oriental
 Caraá,7 313,8 426,Osório,Metropolitana
 Entre-Ijuís,8 938,8 350,Santo Ângelo,Noroeste
 General Câmara,8 452,8 339,São Jerônimo,Metropolitana
 Glorinha,6 885,8 304,Porto Alegre,Metropolitana
 Minas do Leão,7 631,8 130,São Jerônimo,Metropolitana
 Cristal,7 280,8 121,Pelotas,Sudeste
 Santana da Boa Vista,8 244,8 037,Serras de Sudeste,Sudeste
 Salvador do Sul,6 747,7 975,Montenegro,Metropolitana
 Santa Bárbara do Sul,8 829,7 813,Cruz Alta,Noroeste
 Paraí,6 812,7 793,Guaporé,Nordeste
 Tuparendi,8 557,7 730,Santa Rosa,Noroeste
 São Miguel das Missões,7 421,7 692,Santo Ângelo,Noroeste
 Boqueirão do Leão,7 673,7 691,Lajeado-Estrela,Centro Oriental
Pedro Osório,7 811,7 683,Pelotas,Sudeste
 Paraíso do Sul,7 336,7 635,Cachoeira do Sul,Centro Oriental
 Barão do Triunfo,7 018,7 550,São Jerônimo,Metropolitana
 Segredo,7 421,7 465,Santa Cruz do Sul,Centro Oriental
 Lavras do Sul,7 669,7 410,Campanha Meridional,Sudoeste
 Ametista do Sul,7 323,7 396,Frederico Westphalen,Noroeste
 Guarani das Missões,8 115,7 393,Cerro Largo,Noroeste
 Manoel Viana,7 074,7 315,Campanha Ocidental,Sudoeste
 Ibiraiaras,7 262,7 267,Passo Fundo,Noroeste
 Coronel Bicaco,7 748,7 213,Ijuí,Noroeste
 Amaral Ferrador,6 355,7 136,Serras de Sudeste,Sudeste
 Palmitinho,6 920,7 056,Frederico Westphalen,Noroeste
 Iraí,8 078,7 046,Frederico Westphalen,Noroeste
 Ajuricaba,7 255,6 951,Ijuí,Noroeste
 São José do Ouro,6 906,6 911,Sananduva,Noroeste
 Hulha Negra,6 048,6 894,Campanha Meridional,Sudoeste
 Chuí,5 919,6 832,Litoral Lagunar,Sudeste
 Herval,6 757,6 807,Jaguarão,Sudeste
 Condor,6 552,6 766,Ijuí,Noroeste
 Santa Clara do Sul,5 692,6 755,Lajeado-Estrela,Centro Oriental
 Roque Gonzales,7 206,6 750,Cerro Largo,Noroeste
 Maquiné,6 908,6 747,Osório,Metropolitana
 Ipê,6 017,6 736,Vacaria,Nordeste
 Boa Vista do Buricá,6 576,6 712,Três Passos,Noroeste
 Erval Seco,7 878,6 697,Frederico Westphalen,Noroeste
Faxinal do Soturno,6 672,6 651,Restinga Seca,Centro Ocidental
 Barão de Cotegipe,6 529,6 616,Erechim,Noroeste
 Passo do Sobrado,6 011,6 612,Cachoeira do Sul,Centro Oriental
 Morro Redondo,6 231,6 609,Pelotas,Sudeste
 Sertão Santana,5 850,6 586,Porto Alegre,Metropolitana
 Morro Reuter,5 680,6 570,Gramado-Canela,Metropolitana
 Formigueiro,6 664,6 569,Restinga Seca,Centro Ocidental
 Augusto Pestana,7 097,6 545,Ijuí,Noroeste
Nova Palma,6 345,6 519,Restinga Seca,Centro Ocidental
 Lagoão,6 185,6 469,Soledade,Noroeste
 Cambará do Sul,6 545,6 383,Vacaria,Nordeste
Santa Maria do Herval,6 053,6 382,Gramado-Canela,Metropolitana
Progresso,6 161,6 235,Lajeado-Estrela,Centro Oriental
 Barão,5 742,6 232,Montenegro,Metropolitana
 Lindolfo Collor,5 229,6 193,Gramado-Canela,Metropolitana
 Aratiba,6 568,6 145,Erechim,Noroeste
 Bossoroca,6 887,6 135,Santo Ângelo,Noroeste
 Cândido Godói,6 535,6 106,Santa Rosa,Noroeste
 Independência,6 618,6 054,Santa Rosa,Noroeste
 Vale Real,5 121,6 046,Montenegro,Metropolitana
 Cerrito,6 404,6 005,Pelotas,Sudeste
 Anta Gorda,6 073,5 941,Guaporé,Nordeste
 Estação,6 011,5 924,Erechim,Noroeste
 Alpestre,8 027,5 885,Frederico Westphalen,Noroeste
 Rodeio Bonito,5 743,5 868,Frederico Westphalen,Noroeste
 Araricá,4 868,5 840,Porto Alegre,Metropolitana
 Passa-Sete,5 159,5 790,Santa Cruz do Sul,Centro Oriental
Trindade do Sul,5 802,5 781,Frederico Westphalen,Noroeste
 Picada Café,5 182,5 780,Gramado-Canela,Metropolitana
 Alecrim,7 045,5 710,Santa Rosa,Noroeste
 São Paulo das Missões,6 367,5 654,Cerro Largo,Noroeste
 Sentinela do Sul,5 197,5 635,Camaquã,Metropolitana
Tucunduva,5 901,5 612,Santa Rosa,Noroeste
 Itaara,5 011,5 573,Santa Maria,Centro Ocidental
Tiradentes do Sul,6 461,5 532,Três Passos,Noroeste
 Chuvisca,4 944,5 518,Camaquã,Metropolitana
Tavares,5 351,5 484,Osório,Metropolitana
Nova Esperança do Sul,4 671,5 465,Santa Maria,Centro Ocidental
 Gaurama,5 862,5 447,Erechim,Noroeste
 Campinas do Sul,5 509,5 422,Erechim,Noroeste
 Machadinho,5 515,5 411,Sananduva,Noroeste
 São Martinho,5 773,5 336,Três Passos,Noroeste
 Campina das Missões,6 117,5 325,Cerro Largo,Noroeste
 Barracão,5 355,5 237,Sananduva,Noroeste
Sertão,6 294,5 220,Passo Fundo,Noroeste
 São Nicolau,5 727,5 153,Santo Ângelo,Noroeste
 Brochier,4 677,5 132,Montenegro,Metropolitana
 Selbach,4 929,5 114,Não-Me-Toque,Noroeste
 Liberato Salzano,5 780,5 087,Frederico Westphalen,Noroeste
 Cacique Doble,4 865,5 083,Sananduva,Noroeste
Rondinha,5 520,5 033,Frederico Westphalen,Noroeste
 Tupandi,3 919,5 019,Montenegro,Metropolitana
 Aceguá,4 394,4 981,Campanha Meridional,Sudoeste
 Harmonia,4 254,4 967,Montenegro,Metropolitana
 Muçum,4 791,4 967,Lajeado-Estrela,Centro Oriental
Pinheirinho do Vale,4 503,4 926,Frederico Westphalen,Noroeste
 São José do Hortêncio,4 094,4 924,Montenegro,Metropolitana
Miraguaí,4 855,4 899,Três Passos,Noroeste
 Nova Araçá,4 003,4 890,Guaporé,Nordeste
 Tabaí,4 131,4 816,Lajeado-Estrela,Centro Oriental
 Caibaté,4 954,4 802,Cerro Largo,Noroeste
 Capivari do Sul,3 890,4 793,Osório,Metropolitana
 Erval Grande,5 167,4 780,Erechim,Noroeste
 Mata,5 111,4 760,Santa Maria,Centro Ocidental
David Canabarro,4 683,4 732,Passo Fundo,Noroeste
 Cerro Branco,4 454,4 720,Cachoeira do Sul,Centro Oriental
 Humaitá,4 919,4 712,Três Passos,Noroeste
 Riozinho,4 327,4 698,Gramado-Canela,Metropolitana
 Ciríaco,4 922,4 693,Passo Fundo,Noroeste
 Ibiaçá,4 710,4 690,Sananduva,Noroeste
 Fazenda Vilanova,3 697,4 680,Lajeado-Estrela,Centro Oriental
 Caiçara,5 071,4 659,Frederico Westphalen,Noroeste
 Viadutos,5 311,4 628,Erechim,Noroeste
 Mato Leitão,3 869,4 627,Santa Cruz do Sul,Centro Oriental
 São João da Urtiga,4 726,4 625,Sananduva,Noroeste
Tunas,4 395,4 585,Soledade,Noroeste
