"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Aceguá","0.509","0.621","0.687","",""
"1","IDH","Água Santa","0.448","0.630","0.750","",""
"1","IDH","Agudo","0.449","0.593","0.694","",""
"1","IDH","Ajuricaba","0.498","0.646","0.753","",""
"1","IDH","Alecrim","0.425","0.548","0.672","",""
"1","IDH","Alegrete","0.524","0.641","0.740","",""
"1","IDH","Alegria","0.412","0.578","0.695","",""
"1","IDH","Almirante Tamandaré do Sul","0.491","0.601","0.740","",""
"1","IDH","Alpestre","0.346","0.524","0.671","",""
"1","IDH","Alto Alegre","0.567","0.662","0.747","",""
"1","IDH","Alto Feliz","0.500","0.640","0.734","",""
"1","IDH","Alvorada","0.472","0.582","0.699","",""
"1","IDH","Amaral Ferrador","0.356","0.507","0.624","",""
"1","IDH","Ametista do Sul","0.392","0.539","0.682","",""
"1","IDH","André da Rocha","0.504","0.591","0.720","",""
"1","IDH","Anta Gorda","0.486","0.642","0.740","",""
"1","IDH","Antônio Prado","0.543","0.683","0.758","",""
"1","IDH","Arambaré","0.348","0.560","0.691","",""
"1","IDH","Araricá","0.414","0.565","0.679","",""
"1","IDH","Aratiba","0.455","0.615","0.772","",""
"1","IDH","Arroio do Meio","0.557","0.690","0.769","",""
"1","IDH","Arroio do Sal","0.480","0.664","0.740","",""
"1","IDH","Arroio do Padre","0.319","0.560","0.669","",""
"1","IDH","Arroio dos Ratos","0.468","0.610","0.698","",""
"1","IDH","Arroio do Tigre","0.433","0.568","0.707","",""
"1","IDH","Arroio Grande","0.484","0.588","0.657","",""
"1","IDH","Arvorezinha","0.458","0.593","0.694","",""
"1","IDH","Augusto Pestana","0.502","0.635","0.743","",""
"1","IDH","Áurea","0.408","0.582","0.707","",""
"1","IDH","Bagé","0.561","0.659","0.740","",""
"1","IDH","Balneário Pinhal","0.440","0.618","0.696","",""
"1","IDH","Barão","0.456","0.622","0.748","",""
"1","IDH","Barão de Cotegipe","0.450","0.633","0.719","",""
"1","IDH","Barão do Triunfo","0.363","0.482","0.610","",""
"1","IDH","Barracão","0.439","0.566","0.710","",""
"1","IDH","Barra do Guarita","0.410","0.559","0.734","",""
"1","IDH","Barra do Quaraí","0.479","0.549","0.662","",""
"1","IDH","Barra do Ribeiro","0.479","0.619","0.670","",""
"1","IDH","Barra do Rio Azul","0.443","0.561","0.723","",""
"1","IDH","Barra Funda","0.501","0.666","0.763","",""
"1","IDH","Barros Cassal","0.361","0.511","0.650","",""
"1","IDH","Benjamin Constant do Sul","0.312","0.450","0.619","",""
"1","IDH","Bento Gonçalves","0.612","0.712","0.778","",""
"1","IDH","Boa Vista das Missões","0.340","0.605","0.676","",""
"1","IDH","Boa Vista do Buricá","0.535","0.669","0.762","",""
"1","IDH","Boa Vista do Cadeado","0.411","0.585","0.703","",""
"1","IDH","Boa Vista do Incra","0.486","0.643","0.731","",""
"1","IDH","Boa Vista do Sul","0.491","0.655","0.728","",""
"1","IDH","Bom Jesus","0.420","0.541","0.666","",""
"1","IDH","Bom Princípio","0.520","0.670","0.746","",""
"1","IDH","Bom Progresso","0.407","0.566","0.723","",""
"1","IDH","Bom Retiro do Sul","0.501","0.639","0.739","",""
"1","IDH","Boqueirão do Leão","0.452","0.563","0.700","",""
"1","IDH","Bossoroca","0.457","0.586","0.692","",""
"1","IDH","Bozano","0.447","0.615","0.745","",""
"1","IDH","Braga","0.375","0.553","0.674","",""
"1","IDH","Brochier","0.471","0.566","0.699","",""
"1","IDH","Butiá","0.455","0.579","0.689","",""
"1","IDH","Caçapava do Sul","0.494","0.599","0.704","",""
"1","IDH","Cacequi","0.491","0.580","0.700","",""
"1","IDH","Cachoeira do Sul","0.546","0.661","0.742","",""
"1","IDH","Cachoeirinha","0.546","0.672","0.757","",""
"1","IDH","Cacique Doble","0.424","0.576","0.662","",""
"1","IDH","Caibaté","0.483","0.614","0.719","",""
"1","IDH","Caiçara","0.471","0.612","0.699","",""
"1","IDH","Camaquã","0.469","0.609","0.697","",""
"1","IDH","Camargo","0.457","0.661","0.736","",""
"1","IDH","Cambará do Sul","0.476","0.564","0.697","",""
"1","IDH","Campestre da Serra","0.436","0.622","0.706","",""
"1","IDH","Campina das Missões","0.515","0.607","0.738","",""
"1","IDH","Campinas do Sul","0.528","0.665","0.760","",""
"1","IDH","Campo Bom","0.517","0.669","0.745","",""
"1","IDH","Campo Novo","0.477","0.568","0.703","",""
"1","IDH","Campos Borges","0.428","0.560","0.708","",""
"1","IDH","Candelária","0.428","0.561","0.674","",""
"1","IDH","Cândido Godói","0.491","0.647","0.728","",""
"1","IDH","Candiota","0.502","0.622","0.698","",""
"1","IDH","Canela","0.494","0.638","0.748","",""
"1","IDH","Canguçu","0.381","0.516","0.650","",""
"1","IDH","Canoas","0.556","0.665","0.750","",""
"1","IDH","Canudos do Vale","0.391","0.556","0.713","",""
"1","IDH","Capão Bonito do Sul","0.442","0.531","0.637","",""
"1","IDH","Capão da Canoa","0.526","0.639","0.743","",""
"1","IDH","Capão do Cipó","0.383","0.561","0.672","",""
"1","IDH","Capão do Leão","0.413","0.542","0.637","",""
"1","IDH","Capivari do Sul","0.511","0.658","0.766","",""
"1","IDH","Capela de Santana","0.416","0.534","0.661","",""
"1","IDH","Capitão","0.398","0.614","0.746","",""
"1","IDH","Carazinho","0.562","0.678","0.766","",""
"1","IDH","Caraá","0.370","0.508","0.652","",""
"1","IDH","Carlos Barbosa","0.553","0.724","0.796","",""
"1","IDH","Carlos Gomes","0.423","0.596","0.739","",""
"1","IDH","Casca","0.531","0.688","0.785","",""
"1","IDH","Caseiros","0.415","0.590","0.703","",""
"1","IDH","Catuípe","0.542","0.635","0.739","",""
"1","IDH","Caxias do Sul","0.594","0.705","0.782","",""
"1","IDH","Centenário","0.390","0.545","0.701","",""
"1","IDH","Cerrito","0.415","0.574","0.649","",""
"1","IDH","Cerro Branco","0.420","0.544","0.661","",""
"1","IDH","Cerro Grande","0.388","0.557","0.674","",""
"1","IDH","Cerro Grande do Sul","0.371","0.513","0.660","",""
"1","IDH","Cerro Largo","0.541","0.664","0.764","",""
"1","IDH","Chapada","0.490","0.642","0.757","",""
"1","IDH","Charqueadas","0.551","0.649","0.747","",""
"1","IDH","Charrua","0.375","0.501","0.620","",""
"1","IDH","Chiapetta","0.496","0.606","0.732","",""
"1","IDH","Chuí","0.539","0.654","0.706","",""
"1","IDH","Chuvisca","0.296","0.481","0.616","",""
"1","IDH","Cidreira","0.466","0.640","0.729","",""
"1","IDH","Ciríaco","0.446","0.595","0.719","",""
"1","IDH","Colinas","0.535","0.625","0.765","",""
"1","IDH","Colorado","0.548","0.665","0.758","",""
"1","IDH","Condor","0.473","0.609","0.747","",""
"1","IDH","Constantina","0.488","0.630","0.754","",""
"1","IDH","Coqueiro Baixo","0.385","0.582","0.692","",""
"1","IDH","Coqueiros do Sul","0.422","0.601","0.746","",""
"1","IDH","Coronel Barros","0.451","0.612","0.744","",""
"1","IDH","Coronel Bicaco","0.445","0.579","0.665","",""
"1","IDH","Coronel Pilar","0.519","0.602","0.727","",""
"1","IDH","Cotiporã","0.505","0.645","0.741","",""
"1","IDH","Coxilha","0.415","0.594","0.706","",""
"1","IDH","Crissiumal","0.469","0.589","0.712","",""
"1","IDH","Cristal","0.433","0.537","0.644","",""
"1","IDH","Cristal do Sul","0.315","0.516","0.660","",""
"1","IDH","Cruz Alta","0.559","0.679","0.750","",""
"1","IDH","Cruzaltense","0.356","0.582","0.719","",""
"1","IDH","Cruzeiro do Sul","0.506","0.637","0.723","",""
"1","IDH","David Canabarro","0.499","0.629","0.762","",""
"1","IDH","Derrubadas","0.361","0.573","0.707","",""
"1","IDH","Dezesseis de Novembro","0.408","0.529","0.654","",""
"1","IDH","Dilermando de Aguiar","0.411","0.558","0.648","",""
"1","IDH","Dois Irmãos","0.535","0.676","0.743","",""
"1","IDH","Dois Irmãos das Missões","0.363","0.559","0.670","",""
"1","IDH","Dois Lajeados","0.513","0.694","0.757","",""
"1","IDH","Dom Feliciano","0.318","0.470","0.587","",""
"1","IDH","Dom Pedro de Alcântara","0.395","0.572","0.691","",""
"1","IDH","Dom Pedrito","0.515","0.621","0.708","",""
"1","IDH","Dona Francisca","0.479","0.605","0.697","",""
"1","IDH","Doutor Maurício Cardoso","0.482","0.650","0.706","",""
"1","IDH","Doutor Ricardo","0.405","0.575","0.724","",""
"1","IDH","Eldorado do Sul","0.480","0.620","0.717","",""
"1","IDH","Encantado","0.603","0.700","0.767","",""
"1","IDH","Encruzilhada do Sul","0.431","0.551","0.657","",""
"1","IDH","Engenho Velho","0.353","0.533","0.717","",""
"1","IDH","Entre-Ijuís","0.473","0.589","0.680","",""
"1","IDH","Entre Rios do Sul","0.382","0.595","0.703","",""
"1","IDH","Erebango","0.459","0.606","0.712","",""
"1","IDH","Erechim","0.578","0.696","0.776","",""
"1","IDH","Ernestina","0.475","0.642","0.716","",""
"1","IDH","Herval","0.443","0.548","0.687","",""
"1","IDH","Erval Grande","0.338","0.560","0.681","",""
"1","IDH","Erval Seco","0.434","0.538","0.685","",""
"1","IDH","Esmeralda","0.478","0.538","0.680","",""
"1","IDH","Esperança do Sul","0.398","0.498","0.661","",""
"1","IDH","Espumoso","0.519","0.653","0.765","",""
"1","IDH","Estação","0.534","0.662","0.753","",""
"1","IDH","Estância Velha","0.537","0.674","0.757","",""
"1","IDH","Esteio","0.589","0.693","0.754","",""
"1","IDH","Estrela","0.564","0.676","0.767","",""
"1","IDH","Estrela Velha","0.374","0.535","0.679","",""
"1","IDH","Eugênio de Castro","0.469","0.621","0.712","",""
"1","IDH","Fagundes Varela","0.473","0.633","0.763","",""
"1","IDH","Farroupilha","0.560","0.691","0.777","",""
"1","IDH","Faxinal do Soturno","0.540","0.643","0.720","",""
"1","IDH","Faxinalzinho","0.408","0.574","0.666","",""
"1","IDH","Fazenda Vilanova","0.429","0.548","0.698","",""
"1","IDH","Feliz","0.563","0.659","0.750","",""
"1","IDH","Flores da Cunha","0.523","0.674","0.754","",""
"1","IDH","Floriano Peixoto","0.347","0.532","0.663","",""
"1","IDH","Fontoura Xavier","0.331","0.504","0.661","",""
"1","IDH","Formigueiro","0.454","0.579","0.682","",""
"1","IDH","Forquetinha","0.467","0.553","0.683","",""
"1","IDH","Fortaleza dos Valos","0.535","0.658","0.756","",""
"1","IDH","Frederico Westphalen","0.536","0.683","0.760","",""
"1","IDH","Garibaldi","0.575","0.712","0.786","",""
"1","IDH","Garruchos","0.252","0.549","0.671","",""
"1","IDH","Gaurama","0.498","0.662","0.738","",""
"1","IDH","General Câmara","0.471","0.619","0.686","",""
"1","IDH","Gentil","0.410","0.628","0.733","",""
"1","IDH","Getúlio Vargas","0.532","0.665","0.746","",""
"1","IDH","Giruá","0.479","0.626","0.721","",""
"1","IDH","Glorinha","0.424","0.587","0.714","",""
"1","IDH","Gramado","0.546","0.698","0.764","",""
"1","IDH","Gramado dos Loureiros","0.336","0.573","0.685","",""
"1","IDH","Gramado Xavier","0.356","0.460","0.634","",""
"1","IDH","Gravataí","0.540","0.661","0.736","",""
"1","IDH","Guabiju","0.489","0.674","0.758","",""
"1","IDH","Guaíba","0.522","0.654","0.730","",""
"1","IDH","Guaporé","0.553","0.670","0.765","",""
