"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Unidade","Multiplicador"
"1","PIB a preços correntes",,,,,,,,,,,,,,,,,,,,,,,"",""
"1.1","Série revisada","Bom Jesus",,,,,,,,,,,,"172919","187693","214152","251490","267074.38","283276.34","336822.15","300326.22","335766.51","445615.73","R$",1000
"1.1","Série revisada","Boqueirão do Leão",,,,,,,,,,,,"79804","92818","83378","101671","109819.39","102272.06","114935.23","132986.07","131624.43","136734.78","R$",1000
"1.1","Série revisada","Araricá",,,,,,,,,,,,"74628","89176","100520","122352","151911.43","143315.68","147192.69","141833.88","162835.86","193348.52","R$",1000
"1.1","Série revisada","Arroio do Padre",,,,,,,,,,,,"27190","28110","34358","40247","48608.56","44519.69","51251.20","58752.17","45527.17","56784.28","R$",1000
"1.1","Série revisada","Antônio Prado",,,,,,,,,,,,"250585","277252","310116","371377","427742.79","481164.40","520501.16","549507.52","613851.59","658585.69","R$",1000
"1.1","Série revisada","Arroio do Meio",,,,,,,,,,,,"515080","721259","707054","835479","890385.76","938773.94","1047951.09","1090730.49","1223893.42","1252121.30","R$",1000
"1.1","Série revisada","Brochier",,,,,,,,,,,,"53512","56290","62747","68687","75969.33","80985.77","79588.56","85834.68","83722.19","91523.90","R$",1000
"1.1","Série revisada","Cachoeira do Sul",,,,,,,,,,,,"1222148","1399730","1507099","1828074","2048545.96","2123530.94","2277151.44","2318935.81","2356605.72","2414633.64","R$",1000
"1.1","Série revisada","Bom Progresso",,,,,,,,,,,,"32038","32080","29773","45545","47625.56","48654.55","56200.63","51886.97","52827.87","61745.88","R$",1000
"1.1","Série revisada","Bozano",,,,,,,,,,,,"38632","47875","30949","71828","73891.08","95320.09","109117.77","104964.12","155074.63","131081.90","R$",1000
"1.1","Série revisada","Arvorezinha",,,,,,,,,,,,"114539","135171","143329","181742","208968.98","224150.23","247517.10","256778.67","248742.58","257481.21","R$",1000
